ndeg_auto;dep;nom;region_administrative;adresse;code_insee;commune;situation_geographique;ecrans;fauteuils;tranche_d_entrees;proprietaire;programmateur;categorie_art_et_essai;label_art_et_essai;genre;multiplexe;population_de_la_commune_2015;unite_urbaine_2010;population_unite_urbaine_2015;semaines_d_activite_2020;seances_2020;entrees_2020;entrees_2019;evolution_entrees_2020_2019;art_et_essai;nombre_de_films_programmes_2020;nombre_de_films_inedits_2020;nombre_de_films_en_semaine_1_2020;pdm_en_entrees_des_films_francais_2020;pdm_en_entrees_des_films_americains_2020;pdm_en_entrees_des_films_europeens_2020;pdm_en_entrees_des_autres_films_2020;films_art_et_essai_2020;part_des_seances_de_films_art_et_essai_2020;pdm_en_entrees_des_films_art_et_essai_2020;geo
6531.0;75;UGC LYON BASTILLE;ILE-DE-FRANCE;12 RUE DE LYON;75112;Paris 12e Arrondissement;01-Paris;7;1274;De 80 à 100 000 entrées;UGC SAS;UGC DIFFUSION;NON;;FIXE;NON;142340.0;Paris;10706072.0;31.0;5746.0;84853.0;307651.0;-72.41907226045097;NON;123.0;74.0;70.0;49.22208340208859;43.07772094010042;5.751868178496499;1.9483274793144907;46.0;18.412808910546467;16.023903255463097;48.847502,2.371855
6611.0;75;UGC CINE CITE BERCY;ILE-DE-FRANCE;2 COUR SAINT-EMILION;75112;Paris 12e Arrondissement;01-Paris;18;4440;De 450 à 700 000 entrées;UGC CINE CITE ILE DE FRANCE;UGC DIFFUSION;NON;;FIXE;OUI;142340.0;Paris;10706072.0;31.0;17459.0;496865.0;1758521.0;-71.74529050264398;NON;264.0;158.0;157.0;35.23634279995803;45.77169535707657;14.434383297419881;4.557578545545522;129.0;37.126983217824616;32.766385008352906;48.833595,2.38604
7231.0;75;CHAPLIN SAINT LAMBERT;ILE-DE-FRANCE;6 RUE PECLET;75115;Paris 15e Arrondissement;01-Paris;3;363;De 30 à 40 000 entrées;CINEMA CHAPLIN;;A;JP;FIXE;NON;234994.0;Paris;10706072.0;30.0;2923.0;38484.0;88034.0;-56.28507167685213;OUI;208.0;108.0;1.0;57.833416693636174;24.981611697902263;10.24154873635588;6.943422872105681;145.0;61.64899076291481;70.84056606549177;48.843204,2.298558
7394.0;75;GAUMONT CONVENTION;ILE-DE-FRANCE;27 RUE ALAIN CHARTIER;75115;Paris 15e Arrondissement;01-Paris;9;1263;De 150 à 200 000 entrées;GAUMONT;LES CINEMAS GAUMONT PATHE;NON;;FIXE;OUI;234994.0;Paris;10706072.0;31.0;8274.0;174210.0;529754.0;-67.11492504067927;NON;141.0;109.0;94.0;53.702445849370974;25.202175894479566;17.991187279028857;3.1041909771205973;77.0;62.82330190959633;61.44695821794939;48.837759,2.296259
7491.0;75;GAUMONT AQUABOULEVARD;ILE-DE-FRANCE;8/16 RUE DU COLONEL PIERRE AVIA;75115;Paris 15e Arrondissement;01-Paris;14;2583;De 150 à 200 000 entrées;GAUMONT;LES CINEMAS GAUMONT PATHE;NON;;FIXE;OUI;234994.0;Paris;10706072.0;31.0;12231.0;197201.0;695177.0;-71.63297980226618;NON;215.0;128.0;114.0;28.5823649196944;56.79114418262826;10.719662752183078;3.9068281454942606;56.0;20.055596435287384;15.069485911431618;48.830408,2.276322
7711.0;75;GAUMONT MONTPARNOS;ILE-DE-FRANCE;16 18 RUE D ODESSA;75114;Paris 14e Arrondissement;01-Paris;4;397;De 50 à 80 000 entrées;CINEMAS RYTMANN SAS;LES CINEMAS GAUMONT PATHE;NON;;FIXE;NON;139992.0;Paris;10706072.0;31.0;3640.0;56355.0;151155.0;-62.71707849558401;NON;86.0;74.0;25.0;53.129463010568415;29.582619251642388;9.177734932876321;8.110182804912883;48.0;66.07142857142857;62.85168523279063;48.841914,2.324596
8132.0;75;GAUMONT ALESIA;ILE-DE-FRANCE;73 AVENUE DU GENERAL LECLERC;75114;Paris 14e Arrondissement;01-Paris;8;1384;De 150 à 200 000 entrées;GAUMONT;LES CINEMAS GAUMONT PATHE;NON;;FIXE;OUI;139992.0;Paris;10706072.0;31.0;7412.0;164857.0;514577.0;-67.962617839507;NON;151.0;97.0;79.0;39.56023015072906;46.32582556738548;12.845779340529642;1.2681649413558238;59.0;33.2164058283864;33.41427131230175;48.828166,2.327463
8161.0;75;CHAPLIN DENFERT;ILE-DE-FRANCE;24 PLACE DENFERT ROCHEREAU;75114;Paris 14e Arrondissement;01-Paris;1;133;De 10 à 20 000 entrées;SOCIETE D'EXPLOITATION DU THEATRE DENFERT ROCHEREAU;;A;JP;FIXE;NON;139992.0;Paris;10706072.0;29.0;881.0;14844.0;36427.0;-59.25000686304115;OUI;130.0;49.0;0.0;59.142741609381325;21.843914274160937;11.79943388596846;7.213910230489285;89.0;59.364358683314414;72.89122523251112;48.833879,2.330976
8291.0;75;L ARLEQUIN PANORAMA;ILE-DE-FRANCE;76 RUE DE RENNES;75106;Paris 6e Arrondissement;01-Paris;3;595;De 40 à 50 000 entrées;LES ECRANS DE PARIS;;A;RDPR;FIXE;NON;42428.0;Paris;10706072.0;30.0;2495.0;49941.0;145076.0;-65.57597397226282;OUI;120.0;35.0;29.0;52.86641096784723;14.509547902725641;27.668516402807246;4.9555247266198785;74.0;86.17234468937876;79.74946956095968;48.851278,2.330648
8331.0;75;UGC DANTON;ILE-DE-FRANCE;99 BD ST GERMAIN;75106;Paris 6e Arrondissement;01-Paris;4;684;De 50 à 80 000 entrées;UGC SAS;UGC DIFFUSION;NON;;FIXE;NON;42428.0;Paris;10706072.0;31.0;3877.0;70774.0;230842.0;-69.3409344919902;NON;61.0;55.0;37.0;49.71601121575958;29.113523617801423;14.48270903731397;6.687756129125027;33.0;61.64560226979623;63.62930476669783;48.852138,2.338995
